bird,year,date,moult
RGGL,2021,108,1
RGGL,2021,610,1
RGGL,2021,1011,1
RGGL,2021,1012,1
RGGL,2022,2801,0.5
RGGL,2022,2502,0
RGGL,2022,1404,0
RWBB,2021,208,1
RWBB,2021,1810,1
RWBB,2021,911,1
RWBB,2021,2211,1
RWBB,2021,1012,1
RWBB,2022,2801,0.5
RWBB,2022,703,0
RWBB,2022,1404,0
RRWW,2021,510,1
RRWW,2021,2810,1
RRWW,2021,1211,1
RRWW,2021,1901,1
RRWW,2021,3112,1
RRWW,2022,1201,1
RRWW,2022,1802,0.5
RRWW,2022,2502,0
RRWW,2022,703,0
RRWW,2022,204,0
RRYY(flag),2021,510,1
RRYY(flag),2021,1212,1
RRYY(flag),2022,204,0
RYLR,2021,1008,1
RYLR,2021,110,1
RYLR,2021,3110,1
RYLR,2021,1811,1
RYLR,2021,1012,1
RYLR,2021,3112,1
RYLR,2022,501,1
RYLR,2022,1802,0
YRRR,2022,2801,0.5
YRRR,2022,1102,0.5
YRRR,2022,703,0
RRGY,2021,1410,1
RRGY,2021,3007,1
RRGB,2021,1810,1
RRGB,2021,311,1
RRGB,2021,1812,1
RRGB,2022,801,0.5
RRGB,2022,2801,0
