,SourceFile,Directory,Date,FileName,Rings_visible,Rings_comb,Flag,comments,Molt,Score
1,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8333.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8333.JPG,1,RWBY,0,,1,5
2,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8339.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8339.JPG,1,RBOO,0,,1,6
3,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8340.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8340.JPG,1,RBOO,0,,0,
4,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8349.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8349.JPG,1,00BB,0,"LEFT TARSUS CUT, NO RINGS",1,5
5,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8354.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8354.JPG,1,00BB,0,"LEFT TARSUS CUT, NO RINGS",1,5
6,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8357.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8357.JPG,1,RBOO,0,,1,6
7,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8368.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8368.JPG,1,00BB,0,"LEFT TARSUS CUT, NO RINGS",1,5
8,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8380.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8380.JPG,1,RYYY,1,,1,3
9,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8381.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8381.JPG,1,RYYY,1,,1,3
10,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8395.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8395.JPG,1,RBOO,0,Ring comb?,1,5
11,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8398.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8398.JPG,1,RBRO,0,,1,5
12,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8439.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8439.JPG,1,RBWR,0,,1,7
13,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8440.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8440.JPG,1,RBGB,0,,1,4
14,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8460.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8460.JPG,1,RBGB,0,,1,4
15,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8465.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8465.JPG,1,RBWR,0,,1,7
16,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8489.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8489.JPG,1,RWBG,0,,1,5
17,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8490.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8490.JPG,1,RWBG,0,,1,5
18,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8492.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8492.JPG,1,RWBB,0,,1,4
19,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8527.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8527.JPG,1,RWLB,0,,1,4
20,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8535.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8535.JPG,1,RWBG,0,,1,6
21,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8541.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8541.JPG,1,RWRR,0,,1,6
22,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8585.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8585.JPG,1,RRGB,0,,1,6
23,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8586.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8586.JPG,1,RRGB,0,,1,6
24,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8628.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8628.JPG,1,RROB,0,,0,
25,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8637.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8637.JPG,1,RWRR,0,,1,6
26,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8674.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8674.JPG,1,RWBB,0,,1,4
27,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8676.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8676.JPG,1,RLBY,1,,1,5
28,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8680.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8680.JPG,1,RBLY,1,,1,4
29,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8681.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8681.JPG,1,RLBY,1,,1,5
30,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8697.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8697.JPG,1,RBRL,0,,0,
31,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8702.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8702.JPG,1,RBRL,0,,1,5
32,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8732.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8732.JPG,1,RYLR,0,,0,
33,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8737.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8737.JPG,1,B000,0,ONLY ONE COLOR BAND,1,5
34,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8773.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8773.JPG,1,RROW,0,,1,6
35,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8781.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8781.JPG,1,RBOY,0,,1,5
36,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8784.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8784.JPG,1,RBOY,0,,1,5
37,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8789.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8789.JPG,1,RROW,0,,0,
38,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob/IMG_8814.JPG,E:/Dotterel Observations/2022/November/2022_11_04 Dot Ob,04/11/2022,IMG_8814.JPG,1,RBWG,0,,1,4
39,E:/Dotterel Observations/2022/November/2022_11_05 Dots/IMG_8851.JPG,E:/Dotterel Observations/2022/November/2022_11_05 Dots,05/11/2022,IMG_8851.JPG,1,RWBG,0,,1,6
40,E:/Dotterel Observations/2022/November/2022_11_05 Dots/IMG_8854.JPG,E:/Dotterel Observations/2022/November/2022_11_05 Dots,05/11/2022,IMG_8854.JPG,1,RWBB,0,,1,4
41,E:/Dotterel Observations/2022/November/2022_11_05 Dots/IMG_8864.JPG,E:/Dotterel Observations/2022/November/2022_11_05 Dots,05/11/2022,IMG_8864.JPG,1,RBGB,0,,1,4
42,E:/Dotterel Observations/2022/November/2022_11_05 Dots/IMG_8865.JPG,E:/Dotterel Observations/2022/November/2022_11_05 Dots,05/11/2022,IMG_8865.JPG,1,RBGB,0,,0,
43,E:/Dotterel Observations/2022/November/2022_11_05 Dots/IMG_8978.JPG,E:/Dotterel Observations/2022/November/2022_11_05 Dots,05/11/2022,IMG_8978.JPG,1,RWBB,0,,1,4
44,E:/Dotterel Observations/2022/November/2022_11_05 Dots/IMG_8993.JPG,E:/Dotterel Observations/2022/November/2022_11_05 Dots,05/11/2022,IMG_8993.JPG,1,RBRL,0,,1,5
45,E:/Dotterel Observations/2022/November/2022_11_05 Dots/IMG_8994.JPG,E:/Dotterel Observations/2022/November/2022_11_05 Dots,05/11/2022,IMG_8994.JPG,1,RBRL,0,,1,5
46,E:/Dotterel Observations/2022/November/2022_11_05 Dots/IMG_9008.JPG,E:/Dotterel Observations/2022/November/2022_11_05 Dots,05/11/2022,IMG_9008.JPG,1,RBRL,0,,1,5
47,E:/Dotterel Observations/2022/November/2022_11_06 Dot check Hatch Ginger bib/IMG_9029.JPG,E:/Dotterel Observations/2022/November/2022_11_06 Dot check Hatch Ginger bib,06/11/2022,IMG_9029.JPG,1,RWBG,0,,1,5
48,E:/Dotterel Observations/2022/November/2022_11_06 Dot check Hatch Ginger bib/IMG_9034.JPG,E:/Dotterel Observations/2022/November/2022_11_06 Dot check Hatch Ginger bib,06/11/2022,IMG_9034.JPG,1,RWLG,0,,1,5
