"","SourceFile","Directory","FileName","Rings_visible","Rings_comb","Flag","comments","Molt","Score","date"
"1","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4853.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob","IMG_4853.JPG","1","RLBY_F","1","","0",NA,2021-08-02
"2","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4392.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob","IMG_4392.JPG","1","RWLY","0","","1",5,2021-08-02
"3","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4400.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob","IMG_4400.JPG","1","RBBY","0","","1",4,2021-08-02
"4","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4426.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob","IMG_4426.JPG","1","RWLY","0","","1",5,2021-08-02
"5","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4458.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob","IMG_4458.JPG","1","RBBY","0","","1",4,2021-08-02
"6","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4487.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob","IMG_4487.JPG","1","RORB","0","","1",6,2021-08-02
"7","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4502.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob","IMG_4502.JPG","1","RORB","0","","1",6,2021-08-02
"8","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4511.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob","IMG_4511.JPG","1","RORB","0","","1",6,2021-08-02
"9","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4663.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob","IMG_4663.JPG","1","RYLR","0","","1",4,2021-08-02
"10","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob/IMG_4850.JPG","E:/Kaikoura_photos/Ailsa/2021to2022/August_2021/2021_08_02 Dot ob","IMG_4850.JPG","1","RLBY_F","1","","0",NA,2021-08-02
